i   j      dx   dy   dz        Jij               χ⁰↑               χ⁰↓            Xzz
1   1    -1.0 -1.0 -1.0   0.803823     -8.701750E-03     -6.205150E-04  -2.330566E-03
1   1    -1.0  0.0  0.0   0.803823     -8.701750E-03     -6.205150E-04  -2.330566E-03
1   1     0.0 -1.0  0.0   0.803823     -8.701750E-03     -6.205150E-04  -2.330566E-03
1   1     0.0  0.0 -1.0   0.803823     -8.701750E-03     -6.205150E-04  -2.330566E-03
1   1     0.0  0.0  1.0   0.803823     -8.701750E-03     -6.205150E-04  -2.330566E-03
1   1     0.0  1.0  0.0   0.803823     -8.701750E-03     -6.205150E-04  -2.330566E-03
1   1     1.0  0.0  0.0   0.803823     -8.701750E-03     -6.205150E-04  -2.330566E-03
1   1     1.0  1.0  1.0   0.803823     -8.701750E-03     -6.205150E-04  -2.330566E-03
1   1    -1.0 -1.0  0.0   0.575587     -5.377750E-02     -1.490160E-02  -1.716977E-02
1   1    -1.0  0.0 -1.0   0.575587     -5.377750E-02     -1.490160E-02  -1.716977E-02
1   1     0.0 -1.0 -1.0   0.575587     -5.377750E-02     -1.490160E-02  -1.716977E-02
1   1     0.0  1.0  1.0   0.575587     -5.377750E-02     -1.490160E-02  -1.716977E-02
1   1     1.0  0.0  1.0   0.575587     -5.377750E-02     -1.490160E-02  -1.716977E-02
1   1     1.0  1.0  0.0   0.575587     -5.377750E-02     -1.490160E-02  -1.716977E-02
1   1    -2.0 -1.0 -1.0  -0.015219      4.162550E-03      6.911900E-04   1.213435E-03
1   1    -1.0 -2.0 -1.0  -0.015219      4.162550E-03      6.911900E-04   1.213435E-03
1   1     1.0  2.0  1.0  -0.015219      4.162550E-03      6.911900E-04   1.213435E-03
1   1     2.0  1.0  1.0  -0.015219      4.162550E-03      6.911900E-04   1.213435E-03
1   1    -1.0 -1.0 -2.0  -0.015219      4.162550E-03      6.911900E-04   1.213435E-03
1   1    -1.0  0.0  1.0  -0.015219      4.162550E-03      6.911900E-04   1.213435E-03
1   1    -1.0  1.0  0.0  -0.015219      4.162550E-03      6.911900E-04   1.213435E-03
1   1     0.0 -1.0  1.0  -0.015219      4.162550E-03      6.911900E-04   1.213435E-03
1   1     0.0  1.0 -1.0  -0.015219      4.162550E-03      6.911900E-04   1.213435E-03
1   1     1.0 -1.0  0.0  -0.015219      4.162550E-03      6.911900E-04   1.213435E-03
1   1     1.0  0.0 -1.0  -0.015219      4.162550E-03      6.911900E-04   1.213435E-03
1   1     1.0  1.0  2.0  -0.015219      4.162550E-03      6.911900E-04   1.213435E-03
1   1    -2.0 -2.0 -1.0  -0.105579     -4.633300E-03     -1.007550E-03  -1.410213E-03
1   1    -2.0 -1.0 -2.0  -0.105579     -4.633300E-03     -1.007550E-03  -1.410213E-03
1   1    -2.0 -1.0  0.0  -0.105579     -4.633300E-03     -1.007550E-03  -1.410213E-03
1   1    -2.0  0.0 -1.0  -0.105579     -4.633300E-03     -1.007550E-03  -1.410213E-03
1   1    -1.0 -2.0 -2.0  -0.105579     -4.633300E-03     -1.007550E-03  -1.410213E-03
1   1    -1.0 -2.0  0.0  -0.105579     -4.633300E-03     -1.007550E-03  -1.410213E-03
1   1    -1.0 -1.0  1.0  -0.105579     -4.633300E-03     -1.007550E-03  -1.410213E-03
1   1    -1.0  0.0 -2.0  -0.105579     -4.633300E-03     -1.007550E-03  -1.410213E-03
1   1    -1.0  1.0 -1.0  -0.105579     -4.633300E-03     -1.007550E-03  -1.410213E-03
1   1    -1.0  1.0  1.0  -0.105579     -4.633300E-03     -1.007550E-03  -1.410213E-03
1   1     0.0 -2.0 -1.0  -0.105579     -4.633300E-03     -1.007550E-03  -1.410213E-03
1   1     0.0 -1.0 -2.0  -0.105579     -4.633300E-03     -1.007550E-03  -1.410213E-03
1   1     0.0  1.0  2.0  -0.105579     -4.633300E-03     -1.007550E-03  -1.410213E-03
1   1     0.0  2.0  1.0  -0.105579     -4.633300E-03     -1.007550E-03  -1.410213E-03
1   1     1.0 -1.0 -1.0  -0.105579     -4.633300E-03     -1.007550E-03  -1.410213E-03
1   1     1.0 -1.0  1.0  -0.105579     -4.633300E-03     -1.007550E-03  -1.410213E-03
1   1     1.0  0.0  2.0  -0.105579     -4.633300E-03     -1.007550E-03  -1.410213E-03
1   1     1.0  1.0 -1.0  -0.105579     -4.633300E-03     -1.007550E-03  -1.410213E-03
